bus_name,bus,in_service,area,zone
AL1 0,AL1 0,True,,AL
AT1 0,AT1 0,True,,AT
BA1 0,BA1 0,True,,BA
BE1 0,BE1 0,True,,BE
BG1 0,BG1 0,True,,BG
CH1 0,CH1 0,True,,CH
CZ1 0,CZ1 0,True,,CZ
DE1 0,DE1 0,True,,DE
DE1 1,DE1 1,True,,DE
DE1 2,DE1 2,True,,DE
DE1 3,DE1 3,True,,DE
DE1 4,DE1 4,True,,DE
DE1 5,DE1 5,True,,DE
DK1 0,DK1 0,True,,DK
DK2 0,DK2 0,True,,DK
EE7 0,EE7 0,True,,EE
ES1 0,ES1 0,True,,ES
ES4 0,ES4 0,True,,ES
FI2 0,FI2 0,True,,FI
FR1 0,FR1 0,True,,FR
FR1 1,FR1 1,True,,FR
FR1 2,FR1 2,True,,FR
FR1 3,FR1 3,True,,FR
FR1 4,FR1 4,True,,FR
FR5 0,FR5 0,True,,FR
GB0 0,GB0 0,True,,GB
GB0 1,GB0 1,True,,GB
GB6 0,GB6 0,True,,GB
GR1 0,GR1 0,True,,GR
HR1 0,HR1 0,True,,HR
HU1 0,HU1 0,True,,HU
IE6 0,IE6 0,True,,IE
IT1 0,IT1 0,True,,IT
IT1 1,IT1 1,True,,IT
IT3 0,IT3 0,True,,IT
LT7 0,LT7 0,True,,LT
LU1 0,LU1 0,True,,LU
LV7 0,LV7 0,True,,LV
ME1 0,ME1 0,True,,ME
MK1 0,MK1 0,True,,MK
NL1 0,NL1 0,True,,NL
NO2 0,NO2 0,True,,NO
PL1 0,PL1 0,True,,PL
PT1 0,PT1 0,True,,PT
RO1 0,RO1 0,True,,RO
RS1 0,RS1 0,True,,RS
SE2 0,SE2 0,True,,SE
SI1 0,SI1 0,True,,SI
SK1 0,SK1 0,True,,SK
XK1 0,XK1 0,True,,XK
